station_name,lat,long,elevation
Polk St at Bush St,37.78847870510701,-122.42033508761928,52.0
48th Ave at Cabrillo St,37.772954,-122.509071,10.0
Pompei Circle at JFK Dr,37.77169999448369,-122.45828202004182,90.0
Grove St at Masonic Ave,37.774804,-122.446649,78.0
2nd St at Townsend St,37.780526,-122.390288,13.0
North Point St at Powell St,37.806929,-122.411536,5.0
4th St at Long Bridge St,37.7737524,-122.3914274,6.0
Sanchez St at 15th St,37.7662185,-122.4310597,37.0
53rd St at Hollis St,37.8361823,-122.2871801,8.0
Haste St at Telegraph Ave,37.8660431,-122.2588044,76.0
10th Ave at Irving St,37.7642245,-122.4673775,82.0
Broadway at Coronado Ave,37.8357883,-122.2516207,53.0
Genoa St at 55th St,37.8396488,-122.2717561,21.0
Jerrold Ave at 3rd St,37.73890064447666,-122.38952457904814,10.0
Harrison St at 20th St,37.758862,-122.412544,11.0
17th St at Valencia St,37.763333,-122.4220555,16.0
Church St at Duboce Ave,37.769818,-122.4291485,40.0
Beale St at Harrison St,37.787963,-122.3918085,6.0
Folsom St at 13th St,37.770282,-122.4154585,6.0
Sanchez St at 17th St,37.7632417,-122.4306746,32.0
Laguna St at Hayes St,37.7762475,-122.4262025,24.0
Lafayette Park,37.791966,-122.429315,97.0
Great Highway at Noriega St,37.75300468614256,-122.5085402813285,6.0
Mission Playground,37.75901675476946,-122.42145756626786,18.0
4th St at Mission Bay Blvd S,37.7703135,-122.3912365,0.0
Natoma St at New Montgomery St,37.7864555,-122.399749,7.0
Cortland Ave at Wool St,37.73908061924541,-122.41730805311876,68.0
MLK Dr at 7th Ave,37.7666140891107,-122.46421122480088,87.0
Webster St at O'Farrell St,37.78352083526095,-122.43115782737732,47.0
25th Ave at Irving St,37.76344319627197,-122.48355373749293,64.0
Carl St at Cole St,37.765942,-122.449228,97.0
Jackson St at 11th St,37.80000163118878,-122.26643800735472,13.0
Harrison St at 17th St,37.7638471,-122.4130036,9.0
Ninth St at Parker St,37.8588682,-122.2912095,15.0
Sansome St at Sutter St,37.79054824861732,-122.40060470846142,55.0
Castro St at Jersey St,37.75072475401099,-122.4340223823615,65.0
JFK Dr at Great Highway,37.770478954997095,-122.5105938991249,4.0
Lincoln Blvd at Graham St,37.80175010159663,-122.4563633604339,15.0
5th St at Virginia St,37.3259984,-121.87712,28.0
S Van Ness Ave at Market St,37.774814,-122.418954,16.0
McAllister St at Baker St,37.77738752500588,-122.4419523104363,79.0
Lyon St at Lombard St,37.7981975,-122.4474145,20.0
20th St at Bryant St,37.759162,-122.4100475,12.0
Powell St BART South,37.78389935708493,-122.4084448814392,27.0
4th Ave at E 12th St,37.795913,-122.255547,8.0
Irving St at 21st Ave,37.76352708498452,-122.47949242628238,68.0
Hellman Hollow,37.7699245,-122.4845999,58.0
Ocean Ave West: To Fairfield Way,37.7249138,-122.4614828,78.0
Drumm St at Market St,37.79353013453841,-122.39647223238327,31.0
Koshland Park,37.77344259318636,-122.42715750770115,50.0
Grove St at Divisadero,37.775946,-122.4377775,63.0
22nd St at Valencia St,37.755279555311766,-122.42113704087866,28.0
The Embarcadero at Pier 38,37.78292608704408,-122.38792061805724,6.0
Milvia St at Derby St,37.86012459911685,-122.2693844139576,40.0
Valencia St at Duncan St,37.7469089378079,-122.42009732972448,21.0
Folsom St at 19th St,37.7605936,-122.4148171,8.0
San Francisco Caltrain Station - Townsend St,37.776598,-122.395282,2.0
Scott St at Golden Gate Ave,37.77911463264767,-122.4368621254282,67.0
South Park St at 3rd St,37.7807601,-122.3949894,7.0
Hospital St at Mariposa St,37.764783,-122.3908972,3.0
8th Ave at JFK Dr,37.77290764129927,-122.46593131805308,80.0
Fulton St at Ashby Ave,37.85557366182879,-122.2635653614998,51.0
Howard St at Grace St,37.7744791,-122.4139142,14.0
21st St at Valencia St,37.75688041884717,-122.42090650026098,31.0
Great Highway at Taraval St,37.74184933158748,-122.507059157011,7.0
Post St at Kearny St,37.788975,-122.403452,42.0
South Park St at 2nd St,37.78235803304849,-122.39312995744228,20.0
24th St at Market St,37.8160598,-122.2782444,2.0
MacArthur Ave at Fernandez St,37.7965927,-122.4556884,22.0
Lake Merritt BART,37.7973195,-122.2653199,7.0
San Jose Diridon Station,37.329732,-121.901782,22.0
16th St Mission BART South,37.7646845,-122.4199265,9.0
Bryant St at 6th St,37.77583378631289,-122.40269154310224,3.0
Marston Campbell Park,37.8098236,-122.2801923,11.0
Townsend St at 5th St,37.77523486860597,-122.39743709564208,6.0
Mechanics Monument Plaza,37.7913,-122.399051,28.0
Frank H Ogawa Plaza,37.8045623549303,-122.27173805236816,18.0
Dolores St at 15th St,37.7661,-122.4266585,25.0
Alameda St at Henry Adams St,37.7685449,-122.40423738710535,5.0
N Morrison Ave at W Julian St,37.333677122859896,-121.90861791372298,22.0
San Francisco Ferry Building,37.795392,-122.394203,9.0
The Alameda at Bush St,37.3319323,-121.9048882,23.0
Montgomery St at Pacific Ave,37.7971765,-122.4036272,15.0
Jackson Playground,37.76505849645157,-122.398994743959,5.0
Yerba Buena Center for the Arts,37.78487208436062,-122.40087568759915,11.0
